"date","indicator","count"
2020-04-16,"CO_GABed_C19_Sus",73
2020-04-16,"CO_GABed_NonC19",292
2020-04-16,"CO_GABed_Spare",643
2020-04-16,"CO_IVBed_C19_Con",39
2020-04-16,"CO_IVBed_C19_Sus",3
2020-04-16,"CO_IVBed_NonC19",6
2020-04-16,"CO_IVBed_Spare",22
2020-04-17,"CO_GABed_C19_Con",128
2020-04-17,"CO_GABed_C19_Sus",74
2020-04-17,"CO_GABed_NonC19",310
2020-04-17,"CO_GABed_Spare",633
2020-04-17,"CO_IVBed_C19_Con",40
2020-04-17,"CO_IVBed_C19_Sus",2
2020-04-17,"CO_IVBed_NonC19",6
2020-04-17,"CO_IVBed_Spare",22
2020-04-18,"CO_GABed_C19_Con",123
2020-04-18,"CO_GABed_C19_Sus",79
2020-04-18,"CO_GABed_NonC19",292
2020-04-18,"CO_GABed_Spare",651
2020-04-18,"CO_IVBed_C19_Con",36
2020-04-18,"CO_IVBed_C19_Sus",5
2020-04-18,"CO_IVBed_NonC19",4
2020-04-18,"CO_IVBed_Spare",25
2020-04-19,"CO_GABed_C19_Con",139
2020-04-19,"CO_GABed_C19_Sus",64
2020-04-19,"CO_GABed_NonC19",313
2020-04-19,"CO_GABed_Spare",629
2020-04-19,"CO_IVBed_C19_Con",34
2020-04-19,"CO_IVBed_C19_Sus",4
2020-04-19,"CO_IVBed_NonC19",6
2020-04-19,"CO_IVBed_Spare",26
2020-04-20,"CO_GABed_C19_Con",149
2020-04-20,"CO_GABed_C19_Sus",51
2020-04-20,"CO_GABed_NonC19",347
2020-04-20,"CO_GABed_Spare",624
2020-04-20,"CO_IVBed_C19_Con",34
2020-04-20,"CO_IVBed_C19_Sus",4
2020-04-20,"CO_IVBed_NonC19",6
2020-04-20,"CO_IVBed_Spare",26
2020-04-21,"CO_GABed_C19_Con",140
2020-04-21,"CO_GABed_C19_Sus",39
2020-04-21,"CO_GABed_NonC19",382
2020-04-21,"CO_GABed_Spare",610
2020-04-21,"CO_IVBed_C19_Con",36
2020-04-21,"CO_IVBed_C19_Sus",2
2020-04-21,"CO_IVBed_NonC19",6
2020-04-21,"CO_IVBed_Spare",26
2020-04-22,"CO_GABed_C19_Con",127
