"date","health_board","percent_beds_in_use_covid"
2020-04-14,"Cardiff and Vale University Health Board",0.169971671388102
2020-04-14,"Cwm Taf University Health Board",0.196157735085945
2020-04-14,"Aneurin Bevan University Health Board",0.199017199017199
2020-04-14,"Velindre University NHS Trust",0.133333333333333
2020-04-14,"Wales",0.180454545454545
2020-04-15,"Betsi Cadwaladr University Health Board",0.1415313225058
2020-04-15,"Hywel Dda University Health Board",0.114155251141553
2020-04-15,"Abertawe Bro Morgannwg University Health Board",0.30609597924773
2020-04-15,"Cardiff and Vale University Health Board",0.175637393767705
2020-04-15,"Cwm Taf University Health Board",0.187436676798379
2020-04-15,"Aneurin Bevan University Health Board",0.207066557107642
2020-04-15,"Velindre University NHS Trust",0.166666666666667
2020-04-15,"Wales",0.183571211661099
2020-04-16,"Betsi Cadwaladr University Health Board",0.14340490797546
2020-04-16,"Hywel Dda University Health Board",0.118101545253863
2020-04-16,"Abertawe Bro Morgannwg University Health Board",0.325129533678756
2020-04-16,"Cardiff and Vale University Health Board",0.170679886685552
2020-04-16,"Cwm Taf University Health Board",0.182370820668693
2020-04-16,"Aneurin Bevan University Health Board",0.208709942481512
2020-04-16,"Velindre University NHS Trust",0.233333333333333
2020-04-16,"Wales",0.185123717561859
2020-04-17,"Betsi Cadwaladr University Health Board",0.165511932255581
2020-04-17,"Hywel Dda University Health Board",0.124287343215507
2020-04-17,"Abertawe Bro Morgannwg University Health Board",0.30012936610608
2020-04-17,"Cardiff and Vale University Health Board",0.167847025495751
2020-04-17,"Cwm Taf University Health Board",0.188449848024316
2020-04-17,"Aneurin Bevan University Health Board",0.20082304526749
2020-04-17,"Velindre University NHS Trust",0.133333333333333
2020-04-17,"Wales",0.186106476566055
2020-04-18,"Betsi Cadwaladr University Health Board",0.189668465690054
2020-04-18,"Hywel Dda University Health Board",0.120133481646274
2020-04-18,"Abertawe Bro Morgannwg University Health Board",0.297817715019255
2020-04-18,"Cardiff and Vale University Health Board",0.169971671388102
2020-04-18,"Cwm Taf University Health Board",0.183419689119171
2020-04-18,"Aneurin Bevan University Health Board",0.2
2020-04-18,"Velindre University NHS Trust",0.1
2020-04-18,"Wales",0.189328482643626
2020-04-19,"Betsi Cadwaladr University Health Board",0.17887432536623
2020-04-19,"Hywel Dda University Health Board",0.113459399332592
2020-04-19,"Abertawe Bro Morgannwg University Health Board",0.277777777777778
2020-04-19,"Cardiff and Vale University Health Board",0.160764872521246
2020-04-19,"Cwm Taf University Health Board",0.176165803108808
2020-04-19,"Aneurin Bevan University Health Board",0.198353909465021
2020-04-19,"Velindre University NHS Trust",0.0666666666666667
2020-04-19,"Wales",0.180635400907716
2020-04-20,"Betsi Cadwaladr University Health Board",0.170261941448382
2020-04-20,"Hywel Dda University Health Board",0.126840317100793
2020-04-20,"Abertawe Bro Morgannwg University Health Board",0.276570048309179
2020-04-20,"Cardiff and Vale University Health Board",0.126297577854671
2020-04-20,"Cwm Taf University Health Board",0.166839378238342
2020-04-20,"Aneurin Bevan University Health Board",0.191780821917808
2020-04-20,"Velindre University NHS Trust",0.0666666666666667
2020-04-20,"Wales",0.169365238572861
2020-04-21,"Betsi Cadwaladr University Health Board",0.15511811023622
2020-04-21,"Hywel Dda University Health Board",0.111872146118721
2020-04-21,"Abertawe Bro Morgannwg University Health Board",0.257913247362251
2020-04-21,"Cardiff and Vale University Health Board",0.142445213379469
2020-04-21,"Cwm Taf University Health Board",0.147150259067358
2020-04-21,"Aneurin Bevan University Health Board",0.174858984689766
2020-04-21,"Velindre University NHS Trust",0.1
2020-04-21,"Wales",0.16128569378677
2020-04-22,"Betsi Cadwaladr University Health Board",0.165354330708661
2020-04-22,"Hywel Dda University Health Board",0.121867881548975
2020-04-22,"Abertawe Bro Morgannwg University Health Board",0.248548199767712
2020-04-22,"Cardiff and Vale University Health Board",0.129757785467128
2020-04-22,"Cwm Taf University Health Board",0.140932642487047
2020-04-22,"Aneurin Bevan University Health Board",0.174512987012987
2020-04-22,"Velindre University NHS Trust",0.0333333333333333
2020-04-22,"Wales",0.15896700143472
2020-04-23,"Betsi Cadwaladr University Health Board",0.161593801881572
2020-04-23,"Hywel Dda University Health Board",0.094488188976378
2020-04-23,"Abertawe Bro Morgannwg University Health Board",0.220224719101124
2020-04-23,"Cardiff and Vale University Health Board",0.138421052631579
2020-04-23,"Cwm Taf University Health Board",0.165129924559933
