"date","health_board","Suspected","Confirmed","Recovering","total_hospitalisations","new_admissions","prev_day_beds_occupied","difference"
2020-11-08,"Cardiff and Vale University Health Board",17,104,31,152,10,168,-26
2020-11-09,"Cardiff and Vale University Health Board",32,104,30,166,10,152,4
2020-11-10,"Cardiff and Vale University Health Board",43,97,34,174,26,166,-18
2020-11-11,"Cardiff and Vale University Health Board",30,103,29,162,22,174,-34
2020-11-12,"Cardiff and Vale University Health Board",26,115,29,170,29,162,-21
2020-11-13,"Cardiff and Vale University Health Board",23,109,38,170,18,170,-18
2020-11-14,"Cardiff and Vale University Health Board",30,115,33,178,13,170,-5
2020-11-15,"Cardiff and Vale University Health Board",14,106,44,164,7,178,-21
2020-11-16,"Cardiff and Vale University Health Board",12,100,53,165,4,164,-3
2020-11-17,"Cardiff and Vale University Health Board",18,99,54,171,22,165,-16
2020-11-18,"Cardiff and Vale University Health Board",23,89,55,167,20,171,-24
2020-04-01,"Cwm Taf University Health Board",68,59,NA,127,53,167,-93
2020-04-02,"Cwm Taf University Health Board",75,65,NA,140,27,127,-14
2020-04-03,"Cwm Taf University Health Board",62,82,NA,144,23,140,-19
2020-04-04,"Cwm Taf University Health Board",52,94,NA,146,30,144,-28
2020-04-05,"Cwm Taf University Health Board",44,113,NA,157,35,146,-24
2020-04-06,"Cwm Taf University Health Board",49,133,NA,182,29,157,-4
2020-04-07,"Cwm Taf University Health Board",51,138,NA,189,41,182,-34
2020-04-08,"Cwm Taf University Health Board",50,154,NA,204,25,189,-10
2020-04-09,"Cwm Taf University Health Board",46,141,NA,187,25,204,-42
2020-04-10,"Cwm Taf University Health Board",36,147,NA,183,23,187,-27
2020-04-11,"Cwm Taf University Health Board",48,154,NA,202,13,183,6
2020-04-12,"Cwm Taf University Health Board",39,162,NA,201,31,202,-32
2020-04-13,"Cwm Taf University Health Board",38,158,NA,196,28,201,-33
2020-04-14,"Cwm Taf University Health Board",32,162,NA,194,23,196,-25
2020-04-15,"Cwm Taf University Health Board",40,145,NA,185,32,194,-41
2020-04-16,"Cwm Taf University Health Board",40,140,NA,180,16,185,-21
2020-04-17,"Cwm Taf University Health Board",47,139,NA,186,26,180,-20
2020-04-18,"Cwm Taf University Health Board",57,120,NA,177,22,186,-31
2020-04-19,"Cwm Taf University Health Board",46,124,NA,170,17,177,-24
2020-04-20,"Cwm Taf University Health Board",40,121,NA,161,19,170,-28
2020-04-21,"Cwm Taf University Health Board",29,113,NA,142,14,161,-33
2020-04-22,"Cwm Taf University Health Board",29,107,NA,136,20,142,-26
2020-04-23,"Cwm Taf University Health Board",57,140,NA,197,22,136,39
2020-04-24,"Cwm Taf University Health Board",58,159,NA,217,24,197,-4
2020-04-25,"Cwm Taf University Health Board",62,130,NA,192,23,217,-48
2020-04-26,"Cwm Taf University Health Board",60,123,NA,183,14,192,-23
2020-04-27,"Cwm Taf University Health Board",40,136,NA,176,19,183,-26
2020-04-28,"Cwm Taf University Health Board",47,124,NA,171,22,176,-27
2020-04-29,"Cwm Taf University Health Board",44,131,NA,175,23,171,-19
2020-04-30,"Cwm Taf University Health Board",59,122,NA,181,26,175,-20
2020-05-01,"Cwm Taf University Health Board",61,115,NA,176,23,181,-28
2020-05-02,"Cwm Taf University Health Board",76,121,NA,197,33,176,-12
2020-05-03,"Cwm Taf University Health Board",38,126,NA,164,11,197,-44
2020-05-04,"Cwm Taf University Health Board",41,126,NA,167,18,164,-15
2020-05-05,"Cwm Taf University Health Board",59,128,NA,187,31,167,-11
2020-05-06,"Cwm Taf University Health Board",49,126,NA,175,32,187,-44
2020-05-07,"Cwm Taf University Health Board",57,114,NA,171,22,175,-26
2020-05-08,"Cwm Taf University Health Board",79,116,NA,195,29,171,-5
2020-05-09,"Cwm Taf University Health Board",59,130,NA,189,14,195,-20
2020-05-10,"Cwm Taf University Health Board",52,129,NA,181,32,189,-40
2020-05-11,"Cwm Taf University Health Board",44,133,NA,177,20,181,-24
2020-05-12,"Cwm Taf University Health Board",44,122,NA,166,19,177,-30
2020-05-13,"Cwm Taf University Health Board",55,131,NA,186,12,166,8
2020-05-14,"Cwm Taf University Health Board",57,127,NA,184,23,186,-25
2020-05-15,"Cwm Taf University Health Board",41,118,NA,159,26,184,-51
2020-05-16,"Cwm Taf University Health Board",50,117,NA,167,18,159,-10
2020-05-17,"Cwm Taf University Health Board",50,110,NA,160,23,167,-30
2020-05-18,"Cwm Taf University Health Board",45,108,NA,153,12,160,-19
2020-05-19,"Cwm Taf University Health Board",90,103,NA,193,27,153,13
2020-05-20,"Cwm Taf University Health Board",100,94,NA,194,14,193,-13
2020-05-21,"Cwm Taf University Health Board",78,102,NA,180,27,194,-41
2020-05-22,"Cwm Taf University Health Board",77,108,NA,185,24,180,-19
2020-05-23,"Cwm Taf University Health Board",94,111,NA,205,26,185,-6
2020-05-24,"Cwm Taf University Health Board",74,103,NA,177,22,205,-50
2020-05-25,"Cwm Taf University Health Board",60,104,NA,164,19,177,-32
2020-05-26,"Cwm Taf University Health Board",56,79,75,210,24,164,22
2020-05-27,"Cwm Taf University Health Board",76,70,79,225,25,210,-10
2020-05-28,"Cwm Taf University Health Board",88,75,82,245,54,225,-34
2020-05-29,"Cwm Taf University Health Board",76,64,77,217,29,245,-57
2020-05-30,"Cwm Taf University Health Board",65,70,78,213,28,217,-32
2020-05-31,"Cwm Taf University Health Board",46,71,90,207,22,213,-28
2020-06-01,"Cwm Taf University Health Board",50,65,85,200,11,207,-18
2020-06-02,"Cwm Taf University Health Board",52,74,85,211,20,200,-9
2020-06-03,"Cwm Taf University Health Board",41,78,89,208,27,211,-30
2020-06-04,"Cwm Taf University Health Board",55,64,69,188,30,208,-50
2020-06-05,"Cwm Taf University Health Board",41,48,81,170,13,188,-31
2020-06-06,"Cwm Taf University Health Board",65,45,73,183,18,170,-5
2020-06-07,"Cwm Taf University Health Board",58,46,75,179,18,183,-22
2020-06-08,"Cwm Taf University Health Board",47,36,82,165,16,179,-30
2020-06-09,"Cwm Taf University Health Board",55,38,82,175,21,165,-11
2020-06-10,"Cwm Taf University Health Board",59,30,85,174,24,175,-25
2020-06-11,"Cwm Taf University Health Board",36,23,90,149,21,174,-46
2020-06-12,"Cwm Taf University Health Board",42,21,89,152,16,149,-13
2020-06-13,"Cwm Taf University Health Board",61,19,63,143,20,152,-29
2020-06-14,"Cwm Taf University Health Board",48,18,63,129,9,143,-23
2020-06-15,"Cwm Taf University Health Board",40,21,77,138,16,129,-7
2020-06-16,"Cwm Taf University Health Board",42,22,76,140,32,138,-30
2020-06-17,"Cwm Taf University Health Board",43,13,75,131,28,140,-37
2020-06-18,"Cwm Taf University Health Board",47,13,58,118,21,131,-34
2020-06-19,"Cwm Taf University Health Board",42,14,67,123,14,118,-9
2020-06-20,"Cwm Taf University Health Board",36,11,50,97,10,123,-36
2020-06-21,"Cwm Taf University Health Board",31,12,48,91,18,97,-24
2020-06-22,"Cwm Taf University Health Board",36,12,53,101,25,91,-15
2020-06-23,"Cwm Taf University Health Board",32,9,55,96,17,101,-22
2020-06-24,"Cwm Taf University Health Board",35,8,47,90,19,96,-25
2020-06-25,"Cwm Taf University Health Board",42,7,47,96,10,90,-4
2020-06-26,"Cwm Taf University Health Board",41,4,47,92,15,96,-19
2020-06-27,"Cwm Taf University Health Board",35,3,28,66,12,92,-38
2020-06-28,"Cwm Taf University Health Board",38,5,39,82,8,66,8
2020-06-29,"Cwm Taf University Health Board",37,5,42,84,11,82,-9
2020-06-30,"Cwm Taf University Health Board",23,6,42,71,29,84,-42
2020-07-01,"Cwm Taf University Health Board",17,8,33,58,11,71,-24
2020-07-02,"Cwm Taf University Health Board",22,6,34,62,11,58,-7
2020-07-03,"Cwm Taf University Health Board",24,5,32,61,13,62,-14
2020-07-04,"Cwm Taf University Health Board",29,10,27,66,12,61,-7
2020-07-05,"Cwm Taf University Health Board",18,7,26,51,13,66,-28
2020-07-06,"Cwm Taf University Health Board",24,7,24,55,21,51,-17
2020-07-07,"Cwm Taf University Health Board",16,7,24,47,9,55,-17
2020-07-08,"Cwm Taf University Health Board",23,6,24,53,19,47,-13
2020-07-09,"Cwm Taf University Health Board",24,5,25,54,23,53,-22
2020-07-10,"Cwm Taf University Health Board",22,4,27,53,23,54,-24
2020-07-11,"Cwm Taf University Health Board",26,4,26,56,12,53,-9
2020-07-12,"Cwm Taf University Health Board",20,5,26,51,19,56,-24
2020-07-13,"Cwm Taf University Health Board",27,4,27,58,12,51,-5
2020-07-14,"Cwm Taf University Health Board",14,4,30,48,17,58,-27
2020-07-15,"Cwm Taf University Health Board",14,3,28,45,7,48,-10
2020-07-16,"Cwm Taf University Health Board",16,3,28,47,12,45,-10
2020-07-17,"Cwm Taf University Health Board",16,3,27,46,15,47,-16
2020-07-18,"Cwm Taf University Health Board",12,3,27,42,6,46,-10
2020-07-19,"Cwm Taf University Health Board",14,2,27,43,8,42,-7
2020-07-20,"Cwm Taf University Health Board",16,2,28,46,10,43,-7
2020-07-21,"Cwm Taf University Health Board",19,1,28,48,14,46,-12
2020-07-22,"Cwm Taf University Health Board",14,1,28,43,23,48,-28
2020-07-23,"Cwm Taf University Health Board",10,1,29,40,14,43,-17
2020-07-24,"Cwm Taf University Health Board",21,1,29,51,7,40,4
2020-07-25,"Cwm Taf University Health Board",14,1,29,44,11,51,-18
2020-07-26,"Cwm Taf University Health Board",8,0,29,37,11,44,-18
2020-07-27,"Cwm Taf University Health Board",10,0,29,39,7,37,-5
2020-07-28,"Cwm Taf University Health Board",11,0,29,40,15,39,-14
2020-07-29,"Cwm Taf University Health Board",13,0,36,49,7,40,2
2020-07-30,"Cwm Taf University Health Board",11,1,36,48,5,49,-6
2020-07-31,"Cwm Taf University Health Board",18,1,28,47,5,48,-6
2020-08-01,"Cwm Taf University Health Board",16,2,28,46,20,47,-21
2020-08-02,"Cwm Taf University Health Board",17,2,28,47,8,46,-7
2020-08-03,"Cwm Taf University Health Board",4,2,28,34,4,47,-17
2020-08-04,"Cwm Taf University Health Board",10,3,28,41,7,34,0
2020-08-05,"Cwm Taf University Health Board",11,4,28,43,9,41,-7
2020-08-06,"Cwm Taf University Health Board",12,5,25,42,4,43,-5
2020-08-07,"Cwm Taf University Health Board",13,6,25,44,4,42,-2
2020-08-08,"Cwm Taf University Health Board",8,7,22,37,5,44,-12
2020-08-09,"Cwm Taf University Health Board",11,7,22,40,5,37,-2
2020-08-10,"Cwm Taf University Health Board",8,6,22,36,6,40,-10
2020-08-11,"Cwm Taf University Health Board",12,6,22,40,19,36,-15
2020-08-12,"Cwm Taf University Health Board",15,6,22,43,7,40,-4
2020-08-13,"Cwm Taf University Health Board",13,5,23,41,0,43,-2
2020-08-14,"Cwm Taf University Health Board",16,4,23,43,0,41,2
2020-08-15,"Cwm Taf University Health Board",15,6,23,44,12,43,-11
2020-08-16,"Cwm Taf University Health Board",8,6,23,37,7,44,-14
2020-08-17,"Cwm Taf University Health Board",15,5,23,43,2,37,4
2020-08-18,"Cwm Taf University Health Board",19,5,23,47,16,43,-12
2020-08-19,"Cwm Taf University Health Board",9,3,25,37,13,47,-23
2020-08-20,"Cwm Taf University Health Board",14,2,25,41,4,37,0
2020-08-21,"Cwm Taf University Health Board",12,1,25,38,9,41,-12
2020-08-22,"Cwm Taf University Health Board",10,1,25,36,6,38,-8
2020-08-23,"Cwm Taf University Health Board",13,2,24,39,4,36,-1
2020-08-24,"Cwm Taf University Health Board",15,1,24,40,4,39,-3
2020-08-25,"Cwm Taf University Health Board",17,1,24,42,7,40,-5
2020-08-26,"Cwm Taf University Health Board",14,1,24,39,6,42,-9
2020-08-27,"Cwm Taf University Health Board",14,2,23,39,5,39,-5
2020-08-28,"Cwm Taf University Health Board",9,2,23,34,6,39,-11
2020-08-29,"Cwm Taf University Health Board",8,1,23,32,2,34,-4
2020-08-30,"Cwm Taf University Health Board",4,1,22,27,3,32,-8
2020-08-31,"Cwm Taf University Health Board",5,0,20,25,4,27,-6
2020-09-01,"Cwm Taf University Health Board",18,1,19,38,9,25,4
2020-09-02,"Cwm Taf University Health Board",14,1,19,34,12,38,-16
2020-09-03,"Cwm Taf University Health Board",22,0,10,32,14,34,-16
2020-09-04,"Cwm Taf University Health Board",20,0,18,38,17,32,-11
2020-09-05,"Cwm Taf University Health Board",8,0,17,25,5,38,-18
2020-09-06,"Cwm Taf University Health Board",14,0,17,31,4,25,2
2020-09-07,"Cwm Taf University Health Board",21,1,17,39,8,31,0
2020-09-08,"Cwm Taf University Health Board",17,1,16,34,12,39,-17
2020-09-09,"Cwm Taf University Health Board",16,2,16,34,12,34,-12
2020-09-10,"Cwm Taf University Health Board",17,4,16,37,15,34,-12
2020-09-11,"Cwm Taf University Health Board",13,4,16,33,18,37,-22
2020-09-12,"Cwm Taf University Health Board",14,3,16,33,11,33,-11
2020-09-13,"Cwm Taf University Health Board",12,5,16,33,11,33,-11
2020-09-14,"Cwm Taf University Health Board",8,5,16,29,15,33,-19
2020-09-15,"Cwm Taf University Health Board",23,14,16,53,18,29,6
2020-09-16,"Cwm Taf University Health Board",20,14,16,50,14,53,-17
2020-09-17,"Cwm Taf University Health Board",24,19,17,60,14,50,-4
2020-09-18,"Cwm Taf University Health Board",30,32,17,79,4,60,15
2020-09-19,"Cwm Taf University Health Board",24,46,1,71,10,79,-18
2020-09-20,"Cwm Taf University Health Board",25,48,0,73,10,71,-8
2020-09-21,"Cwm Taf University Health Board",31,55,1,87,14,73,0
2020-09-22,"Cwm Taf University Health Board",29,53,1,83,7,87,-11
2020-09-23,"Cwm Taf University Health Board",75,60,1,136,21,83,32
2020-09-24,"Cwm Taf University Health Board",43,64,1,108,50,136,-78
2020-09-25,"Cwm Taf University Health Board",33,73,1,107,20,108,-21
2020-09-26,"Cwm Taf University Health Board",32,71,1,104,13,107,-16
2020-09-27,"Cwm Taf University Health Board",43,100,1,144,15,104,25
2020-09-28,"Cwm Taf University Health Board",111,97,13,221,21,144,56
2020-09-29,"Cwm Taf University Health Board",108,112,9,229,31,221,-23
2020-09-30,"Cwm Taf University Health Board",47,119,1,167,15,229,-77
2020-10-01,"Cwm Taf University Health Board",54,112,10,176,13,167,-4
2020-10-02,"Cwm Taf University Health Board",60,119,3,182,17,176,-11
2020-10-03,"Cwm Taf University Health Board",36,125,3,164,22,182,-40
2020-10-04,"Cwm Taf University Health Board",45,129,2,176,8,164,4
2020-10-05,"Cwm Taf University Health Board",34,137,5,176,2,176,-2
2020-10-06,"Cwm Taf University Health Board",23,132,2,157,2,176,-21
2020-10-07,"Cwm Taf University Health Board",20,151,2,173,21,157,-5
2020-10-08,"Cwm Taf University Health Board",21,164,2,187,3,173,11
2020-10-09,"Cwm Taf University Health Board",14,177,3,194,11,187,-4
2020-10-10,"Cwm Taf University Health Board",28,185,3,216,15,194,7
2020-10-11,"Cwm Taf University Health Board",27,189,10,226,10,216,0
2020-10-12,"Cwm Taf University Health Board",21,202,13,236,8,226,2
2020-10-13,"Cwm Taf University Health Board",27,166,44,237,16,236,-15
2020-10-14,"Cwm Taf University Health Board",36,168,50,254,24,237,-7
2020-10-15,"Cwm Taf University Health Board",39,164,69,272,26,254,-8
2020-10-16,"Cwm Taf University Health Board",25,180,64,269,27,272,-30
2020-10-17,"Cwm Taf University Health Board",31,166,70,267,24,269,-26
2020-10-18,"Cwm Taf University Health Board",24,181,64,269,14,267,-12
2020-10-19,"Cwm Taf University Health Board",16,176,70,262,9,269,-16
2020-10-20,"Cwm Taf University Health Board",18,184,68,270,19,262,-11
2020-10-21,"Cwm Taf University Health Board",24,186,78,288,23,270,-5
2020-10-22,"Cwm Taf University Health Board",22,219,80,321,25,288,8
2020-10-23,"Cwm Taf University Health Board",14,219,92,325,38,321,-34
2020-10-24,"Cwm Taf University Health Board",17,204,95,316,30,325,-39
2020-10-25,"Cwm Taf University Health Board",28,222,90,340,11,316,13
2020-10-26,"Cwm Taf University Health Board",23,220,105,348,14,340,-6
2020-10-27,"Cwm Taf University Health Board",28,222,117,367,31,348,-12
2020-10-28,"Cwm Taf University Health Board",23,241,116,380,20,367,-7
2020-10-29,"Cwm Taf University Health Board",18,247,115,380,15,380,-15
2020-10-30,"Cwm Taf University Health Board",22,252,118,392,27,380,-15
2020-10-31,"Cwm Taf University Health Board",29,273,112,414,13,392,9
2020-11-01,"Cwm Taf University Health Board",27,275,113,415,14,414,-13
2020-11-02,"Cwm Taf University Health Board",20,289,108,417,16,415,-14
2020-11-03,"Cwm Taf University Health Board",30,302,114,446,13,417,16
2020-11-04,"Cwm Taf University Health Board",29,300,114,443,18,446,-21
2020-11-05,"Cwm Taf University Health Board",36,299,110,445,22,443,-20
2020-11-06,"Cwm Taf University Health Board",39,301,153,493,15,445,33
2020-11-07,"Cwm Taf University Health Board",27,259,173,459,17,493,-51
2020-11-08,"Cwm Taf University Health Board",25,271,178,474,16,459,-1
2020-11-09,"Cwm Taf University Health Board",18,289,171,478,25,474,-21
2020-11-10,"Cwm Taf University Health Board",16,290,168,474,18,478,-22
2020-11-11,"Cwm Taf University Health Board",15,289,169,473,19,474,-20
2020-11-12,"Cwm Taf University Health Board",12,295,165,472,15,473,-16
2020-11-13,"Cwm Taf University Health Board",14,246,191,451,20,472,-41
2020-11-14,"Cwm Taf University Health Board",24,253,188,465,27,451,-13
2020-11-15,"Cwm Taf University Health Board",7,233,208,448,14,465,-31
2020-11-16,"Cwm Taf University Health Board",9,236,208,453,27,448,-22
2020-11-17,"Cwm Taf University Health Board",11,232,200,443,17,453,-27
2020-11-18,"Cwm Taf University Health Board",9,218,224,451,17,443,-9
2020-04-01,"Hywel Dda University Health Board",42,31,NA,73,16,451,-394
2020-04-02,"Hywel Dda University Health Board",38,36,NA,74,15,73,-14
2020-04-03,"Hywel Dda University Health Board",40,40,NA,80,10,74,-4
2020-04-04,"Hywel Dda University Health Board",31,33,NA,64,7,80,-23
2020-04-05,"Hywel Dda University Health Board",43,33,NA,76,15,64,-3
2020-04-06,"Hywel Dda University Health Board",48,41,NA,89,17,76,-4
2020-04-07,"Hywel Dda University Health Board",51,37,NA,88,14,89,-15
2020-04-08,"Hywel Dda University Health Board",52,39,NA,91,15,88,-12
2020-04-09,"Hywel Dda University Health Board",48,46,NA,94,14,91,-11
2020-04-10,"Hywel Dda University Health Board",64,47,NA,111,16,94,1
2020-04-11,"Hywel Dda University Health Board",58,51,NA,109,19,111,-21
2020-04-12,"Hywel Dda University Health Board",55,50,NA,105,17,109,-21
2020-04-13,"Hywel Dda University Health Board",46,54,NA,100,21,105,-26
2020-04-14,"Hywel Dda University Health Board",46,53,NA,99,9,100,-10
2020-04-15,"Hywel Dda University Health Board",47,53,NA,100,19,99,-18
2020-04-16,"Hywel Dda University Health Board",57,50,NA,107,11,100,-4
2020-04-17,"Hywel Dda University Health Board",56,53,NA,109,15,107,-13
2020-04-18,"Hywel Dda University Health Board",63,45,NA,108,13,109,-14
2020-04-19,"Hywel Dda University Health Board",53,49,NA,102,11,108,-17
2020-04-20,"Hywel Dda University Health Board",61,51,NA,112,22,102,-12
2020-04-21,"Hywel Dda University Health Board",51,47,NA,98,13,112,-27
2020-04-22,"Hywel Dda University Health Board",65,42,NA,107,19,98,-10
2020-04-23,"Hywel Dda University Health Board",49,47,NA,96,14,107,-25
2020-04-24,"Hywel Dda University Health Board",49,52,NA,101,9,96,-4
2020-04-25,"Hywel Dda University Health Board",47,46,NA,93,9,101,-17
2020-04-26,"Hywel Dda University Health Board",39,44,NA,83,7,93,-17
2020-04-27,"Hywel Dda University Health Board",37,47,NA,84,9,83,-8
2020-04-28,"Hywel Dda University Health Board",48,41,NA,89,19,84,-14
2020-04-29,"Hywel Dda University Health Board",54,39,NA,93,22,89,-18
2020-04-30,"Hywel Dda University Health Board",62,37,NA,99,22,93,-16
2020-05-01,"Hywel Dda University Health Board",42,41,NA,83,12,99,-28
2020-05-02,"Hywel Dda University Health Board",40,47,NA,87,19,83,-15
2020-05-03,"Hywel Dda University Health Board",45,43,NA,88,21,87,-20
2020-05-04,"Hywel Dda University Health Board",46,41,NA,87,12,88,-13
2020-05-05,"Hywel Dda University Health Board",51,37,NA,88,14,87,-13
2020-05-06,"Hywel Dda University Health Board",43,31,NA,74,6,88,-20
2020-05-07,"Hywel Dda University Health Board",38,34,NA,72,16,74,-18
2020-05-08,"Hywel Dda University Health Board",48,32,NA,80,6,72,2
2020-05-09,"Hywel Dda University Health Board",44,33,NA,77,9,80,-12
2020-05-10,"Hywel Dda University Health Board",41,34,NA,75,14,77,-16
2020-05-11,"Hywel Dda University Health Board",49,31,NA,80,15,75,-10
2020-05-12,"Hywel Dda University Health Board",52,32,NA,84,13,80,-9
2020-05-13,"Hywel Dda University Health Board",40,30,NA,70,13,84,-27
2020-05-14,"Hywel Dda University Health Board",40,21,NA,61,15,70,-24
2020-05-15,"Hywel Dda University Health Board",32,20,NA,52,10,61,-19
2020-05-16,"Hywel Dda University Health Board",18,23,NA,41,13,52,-24
2020-05-17,"Hywel Dda University Health Board",26,20,NA,46,13,41,-8
2020-05-18,"Hywel Dda University Health Board",26,20,NA,46,11,46,-11
2020-05-19,"Hywel Dda University Health Board",32,17,NA,49,13,46,-10
2020-05-20,"Hywel Dda University Health Board",18,19,NA,37,13,49,-25
2020-05-21,"Hywel Dda University Health Board",20,19,NA,39,13,37,-11
2020-05-22,"Hywel Dda University Health Board",23,18,NA,41,12,39,-10
2020-05-23,"Hywel Dda University Health Board",34,15,NA,49,18,41,-10
2020-05-24,"Hywel Dda University Health Board",27,14,NA,41,14,49,-22
2020-05-25,"Hywel Dda University Health Board",22,16,NA,38,15,41,-18
2020-05-26,"Hywel Dda University Health Board",28,14,2,44,16,38,-10
2020-05-27,"Hywel Dda University Health Board",25,14,3,42,15,44,-17
2020-05-28,"Hywel Dda University Health Board",24,13,2,39,9,42,-12
2020-05-29,"Hywel Dda University Health Board",22,11,1,34,13,39,-18
2020-05-30,"Hywel Dda University Health Board",27,8,1,36,14,34,-12
2020-05-31,"Hywel Dda University Health Board",16,10,1,27,6,36,-15
2020-06-01,"Hywel Dda University Health Board",32,9,1,42,23,27,-8
2020-06-02,"Hywel Dda University Health Board",17,10,1,28,18,42,-32
2020-06-03,"Hywel Dda University Health Board",34,8,1,43,11,28,4
2020-06-04,"Hywel Dda University Health Board",19,6,1,26,4,43,-21
2020-06-05,"Hywel Dda University Health Board",29,6,1,36,16,26,-6
2020-06-06,"Hywel Dda University Health Board",36,9,1,46,18,36,-8
2020-06-07,"Hywel Dda University Health Board",35,10,1,46,19,46,-19
2020-06-08,"Hywel Dda University Health Board",35,10,2,47,3,46,-2
2020-06-09,"Hywel Dda University Health Board",26,8,1,35,17,47,-29
2020-06-10,"Hywel Dda University Health Board",25,8,1,34,14,35,-15
2020-06-11,"Hywel Dda University Health Board",41,8,1,50,19,34,-3
2020-06-12,"Hywel Dda University Health Board",32,10,1,43,15,50,-22
2020-06-13,"Hywel Dda University Health Board",37,11,1,49,12,43,-6
2020-06-14,"Hywel Dda University Health Board",48,12,1,61,10,49,2
2020-06-15,"Hywel Dda University Health Board",31,13,1,45,9,61,-25
2020-06-16,"Hywel Dda University Health Board",22,14,1,37,10,45,-18
2020-06-17,"Hywel Dda University Health Board",23,14,1,38,12,37,-11
2020-06-18,"Hywel Dda University Health Board",25,12,1,38,10,38,-10
2020-06-19,"Hywel Dda University Health Board",28,12,2,42,13,38,-9
2020-06-20,"Hywel Dda University Health Board",11,12,4,27,10,42,-25
2020-06-21,"Hywel Dda University Health Board",23,11,2,36,11,27,-2
2020-06-22,"Hywel Dda University Health Board",12,8,4,24,13,36,-25
2020-06-23,"Hywel Dda University Health Board",8,3,8,19,10,24,-15
2020-06-24,"Hywel Dda University Health Board",17,4,6,27,15,19,-7
2020-06-25,"Hywel Dda University Health Board",10,2,6,18,15,27,-24
2020-06-26,"Hywel Dda University Health Board",12,3,5,20,8,18,-6
2020-06-27,"Hywel Dda University Health Board",19,3,0,22,23,20,-21
2020-06-28,"Hywel Dda University Health Board",13,5,0,18,12,22,-16
2020-06-29,"Hywel Dda University Health Board",6,4,0,10,7,18,-15
2020-06-30,"Hywel Dda University Health Board",15,5,0,20,7,10,3
2020-07-01,"Hywel Dda University Health Board",16,4,0,20,17,20,-17
2020-07-02,"Hywel Dda University Health Board",10,2,0,12,9,20,-17
2020-07-03,"Hywel Dda University Health Board",13,2,0,15,10,12,-7
2020-07-04,"Hywel Dda University Health Board",10,2,0,12,6,15,-9
2020-07-05,"Hywel Dda University Health Board",16,2,0,18,15,12,-9
2020-07-06,"Hywel Dda University Health Board",13,2,0,15,11,18,-14
2020-07-07,"Hywel Dda University Health Board",30,1,0,31,11,15,5
2020-07-08,"Hywel Dda University Health Board",11,1,0,12,13,31,-32
2020-07-09,"Hywel Dda University Health Board",12,1,0,13,17,12,-16
2020-07-10,"Hywel Dda University Health Board",12,1,0,13,11,13,-11
2020-07-11,"Hywel Dda University Health Board",15,1,0,16,10,13,-7
2020-07-12,"Hywel Dda University Health Board",10,1,0,11,0,16,-5
2020-07-13,"Hywel Dda University Health Board",13,1,0,14,5,11,-2
2020-07-14,"Hywel Dda University Health Board",13,0,0,13,13,14,-14
2020-07-15,"Hywel Dda University Health Board",13,1,0,14,12,13,-11
2020-07-16,"Hywel Dda University Health Board",21,1,0,22,5,14,3
2020-07-17,"Hywel Dda University Health Board",18,1,0,19,8,22,-11
2020-07-18,"Hywel Dda University Health Board",15,2,0,17,10,19,-12
2020-07-19,"Hywel Dda University Health Board",13,2,0,15,8,17,-10
2020-07-20,"Hywel Dda University Health Board",10,2,0,12,3,15,-6
2020-07-21,"Hywel Dda University Health Board",12,1,0,13,5,12,-4
2020-07-22,"Hywel Dda University Health Board",14,2,0,16,12,13,-9
2020-07-23,"Hywel Dda University Health Board",16,1,0,17,19,16,-18
2020-07-24,"Hywel Dda University Health Board",13,1,0,14,10,17,-13
2020-07-25,"Hywel Dda University Health Board",16,2,0,18,7,14,-3
2020-07-26,"Hywel Dda University Health Board",7,2,0,9,7,18,-16
2020-07-27,"Hywel Dda University Health Board",14,2,0,16,3,9,4
2020-07-28,"Hywel Dda University Health Board",20,0,2,22,0,16,6
2020-07-29,"Hywel Dda University Health Board",18,3,0,21,6,22,-7
2020-07-30,"Hywel Dda University Health Board",13,2,0,15,3,21,-9
2020-07-31,"Hywel Dda University Health Board",10,0,0,10,8,15,-13
2020-08-01,"Hywel Dda University Health Board",12,0,0,12,8,10,-6
2020-08-02,"Hywel Dda University Health Board",8,0,0,8,1,12,-5
2020-08-03,"Hywel Dda University Health Board",9,0,0,9,0,8,1
2020-08-04,"Hywel Dda University Health Board",4,0,0,4,6,9,-11
2020-08-05,"Hywel Dda University Health Board",12,0,0,12,9,4,-1
2020-08-06,"Hywel Dda University Health Board",22,0,0,22,9,12,1
2020-08-07,"Hywel Dda University Health Board",15,3,0,18,3,22,-7
2020-08-08,"Hywel Dda University Health Board",13,3,0,16,7,18,-9
2020-08-09,"Hywel Dda University Health Board",21,0,0,21,6,16,-1
2020-08-10,"Hywel Dda University Health Board",21,0,0,21,6,21,-6
2020-08-11,"Hywel Dda University Health Board",19,0,0,19,1,21,-3
2020-08-12,"Hywel Dda University Health Board",16,0,0,16,0,19,-3
2020-08-13,"Hywel Dda University Health Board",14,1,0,15,1,16,-2
2020-08-14,"Hywel Dda University Health Board",18,0,0,18,9,15,-6
2020-08-15,"Hywel Dda University Health Board",31,0,0,31,12,18,1
2020-08-16,"Hywel Dda University Health Board",16,0,0,16,2,31,-17
2020-08-17,"Hywel Dda University Health Board",17,1,0,18,7,16,-5
2020-08-18,"Hywel Dda University Health Board",13,1,0,14,4,18,-8
2020-08-19,"Hywel Dda University Health Board",17,1,0,18,5,14,-1
