"date","indicator","count"
2020-04-18,"CO_GABed_NonC19",517
2020-04-18,"CO_GABed_Spare",497
2020-04-18,"CO_IVBed_C19_Con",15
2020-04-18,"CO_IVBed_C19_Sus",10
2020-04-18,"CO_IVBed_NonC19",9
2020-04-18,"CO_IVBed_Spare",28
2020-04-19,"CO_GABed_C19_Con",105
2020-04-19,"CO_GABed_C19_Sus",103
2020-04-19,"CO_GABed_NonC19",535
2020-04-19,"CO_GABed_Spare",492
2020-04-19,"CO_IVBed_C19_Con",15
2020-04-19,"CO_IVBed_C19_Sus",9
2020-04-19,"CO_IVBed_NonC19",8
2020-04-19,"CO_IVBed_Spare",30
2020-04-20,"CO_GABed_C19_Con",110
2020-04-20,"CO_GABed_C19_Sus",91
2020-04-20,"CO_GABed_NonC19",575
2020-04-20,"CO_GABed_Spare",460
2020-04-20,"CO_IVBed_C19_Con",16
2020-04-20,"CO_IVBed_C19_Sus",4
2020-04-20,"CO_IVBed_NonC19",4
2020-04-20,"CO_IVBed_Spare",38
2020-04-21,"CO_GABed_C19_Con",114
2020-04-21,"CO_GABed_C19_Sus",64
2020-04-21,"CO_GABed_NonC19",549
2020-04-21,"CO_GABed_Spare",477
2020-04-21,"CO_IVBed_C19_Con",13
2020-04-21,"CO_IVBed_C19_Sus",6
2020-04-21,"CO_IVBed_NonC19",6
2020-04-21,"CO_IVBed_Spare",41
2020-04-22,"CO_GABed_C19_Con",105
2020-04-22,"CO_GABed_C19_Sus",89
2020-04-22,"CO_GABed_NonC19",533
2020-04-22,"CO_GABed_Spare",477
2020-04-22,"CO_IVBed_C19_Con",10
2020-04-22,"CO_IVBed_C19_Sus",6
2020-04-22,"CO_IVBed_NonC19",6
2020-04-22,"CO_IVBed_Spare",44
2020-04-23,"CO_GABed_C19_Con",148
2020-04-23,"CO_GABed_C19_Sus",125
2020-04-23,"CO_GABed_NonC19",811
2020-04-23,"CO_GABed_Spare",657
2020-04-23,"CO_IVBed_C19_Con",15
2020-04-23,"CO_IVBed_C19_Sus",4
2020-04-23,"CO_IVBed_NonC19",6
2020-04-23,"CO_IVBed_Spare",41
2020-04-24,"CO_GABed_C19_Con",152
2020-04-24,"CO_GABed_C19_Sus",105
2020-04-24,"CO_GABed_NonC19",852
2020-04-24,"CO_GABed_Spare",635
2020-04-24,"CO_IVBed_C19_Con",14
2020-04-24,"CO_IVBed_C19_Sus",4
2020-04-24,"CO_IVBed_NonC19",8
2020-04-24,"CO_IVBed_Spare",40
2020-04-25,"CO_GABed_C19_Con",160
2020-04-25,"CO_GABed_C19_Sus",104
2020-04-25,"CO_GABed_NonC19",844
2020-04-25,"CO_GABed_Spare",604
2020-04-25,"CO_IVBed_C19_Con",16
2020-04-25,"CO_IVBed_C19_Sus",6
2020-04-25,"CO_IVBed_NonC19",11
2020-04-25,"CO_IVBed_Spare",33
2020-04-26,"CO_GABed_C19_Con",161
2020-04-26,"CO_GABed_C19_Sus",121
2020-04-26,"CO_GABed_NonC19",850
2020-04-26,"CO_GABed_Spare",612
2020-04-26,"CO_IVBed_C19_Con",16
2020-04-26,"CO_IVBed_C19_Sus",1
2020-04-26,"CO_IVBed_NonC19",13
2020-04-26,"CO_IVBed_Spare",36
2020-04-27,"CO_GABed_C19_Con",189
2020-04-27,"CO_GABed_C19_Sus",93
2020-04-27,"CO_GABed_NonC19",861
2020-04-27,"CO_GABed_Spare",590
2020-04-27,"CO_IVBed_C19_Con",15
2020-04-27,"CO_IVBed_C19_Sus",4
2020-04-27,"CO_IVBed_NonC19",8
2020-04-27,"CO_IVBed_Spare",39
2020-04-28,"CO_GABed_C19_Con",185
2020-04-28,"CO_GABed_C19_Sus",114
2020-04-28,"CO_GABed_NonC19",841
2020-04-28,"CO_GABed_Spare",609
2020-04-28,"CO_IVBed_C19_Con",9
2020-04-28,"CO_IVBed_C19_Sus",7
2020-04-28,"CO_IVBed_NonC19",5
2020-04-28,"CO_IVBed_Spare",45
2020-04-29,"CO_GABed_C19_Con",180
2020-04-29,"CO_GABed_C19_Sus",103
2020-04-29,"CO_GABed_NonC19",854
2020-04-29,"CO_GABed_Spare",613
2020-04-29,"CO_IVBed_C19_Con",17
2020-04-29,"CO_IVBed_C19_Sus",2
2020-04-29,"CO_IVBed_NonC19",8
2020-04-29,"CO_IVBed_Spare",39
2020-04-30,"CO_GABed_C19_Con",184
2020-04-30,"CO_GABed_C19_Sus",99
2020-04-30,"CO_GABed_NonC19",838
2020-04-30,"CO_GABed_Spare",631
2020-04-30,"CO_IVBed_C19_Con",18
2020-04-30,"CO_IVBed_C19_Sus",5
2020-04-30,"CO_IVBed_NonC19",12
2020-04-30,"CO_IVBed_Spare",26
2020-05-01,"CO_GABed_C19_Con",169
2020-05-01,"CO_GABed_C19_Sus",122
2020-05-01,"CO_GABed_NonC19",851
2020-05-01,"CO_GABed_Spare",610
2020-05-01,"CO_IVBed_C19_Con",17
2020-05-01,"CO_IVBed_C19_Sus",5
2020-05-01,"CO_IVBed_NonC19",10
2020-05-01,"CO_IVBed_Spare",29
2020-05-02,"CO_GABed_C19_Con",168
2020-05-02,"CO_GABed_C19_Sus",119
2020-05-02,"CO_GABed_NonC19",864
2020-05-02,"CO_GABed_Spare",593
2020-05-02,"CO_IVBed_C19_Con",17
2020-05-02,"CO_IVBed_C19_Sus",2
2020-05-02,"CO_IVBed_NonC19",12
2020-05-02,"CO_IVBed_Spare",30
2020-05-03,"CO_GABed_C19_Con",193
2020-05-03,"CO_GABed_C19_Sus",95
2020-05-03,"CO_GABed_NonC19",846
2020-05-03,"CO_GABed_Spare",607
2020-05-03,"CO_IVBed_C19_Con",18
2020-05-03,"CO_IVBed_C19_Sus",3
2020-05-03,"CO_IVBed_NonC19",8
2020-05-03,"CO_IVBed_Spare",37
2020-05-04,"CO_GABed_C19_Con",194
2020-05-04,"CO_GABed_C19_Sus",87
2020-05-04,"CO_GABed_NonC19",954
2020-05-04,"CO_GABed_Spare",512
2020-05-04,"CO_IVBed_C19_Con",19
2020-05-04,"CO_IVBed_C19_Sus",2
2020-05-04,"CO_IVBed_NonC19",10
2020-05-04,"CO_IVBed_Spare",35
2020-05-05,"CO_GABed_C19_Con",172
2020-05-05,"CO_GABed_C19_Sus",111
2020-05-05,"CO_GABed_NonC19",927
2020-05-05,"CO_GABed_Spare",542
2020-05-05,"CO_IVBed_C19_Con",16
2020-05-05,"CO_IVBed_C19_Sus",4
2020-05-05,"CO_IVBed_NonC19",6
