"health_board","date","hb_pop","num_lockdown","prop_lockdown"
"Aneurin Bevan University Health Board",2020-09-08,594164,275036,0.462895766
"Aneurin Bevan University Health Board",2020-09-22,594164,499574,0.84080153
"Aneurin Bevan University Health Board",2020-10-23,594164,594164,2
