"date","health_board","prop_lockdown","lockdown_status","proportion_lockdown"
2020-06-07,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-08,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-09,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-10,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-11,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-12,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-13,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-14,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-15,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-16,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-17,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-18,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-19,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-20,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-21,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-22,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-23,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-24,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-25,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-26,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-27,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-28,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-29,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-06-30,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-01,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-02,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-03,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-04,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-05,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-06,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-07,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-08,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-09,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-10,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-11,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-12,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-13,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-14,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-15,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-16,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-17,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-18,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-19,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-20,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-21,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-22,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-23,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-24,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-25,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-26,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-27,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-28,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-29,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-30,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-07-31,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-01,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-02,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-03,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-04,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-05,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-06,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-07,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-08,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-09,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-10,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-11,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-12,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-13,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-14,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-15,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-16,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-17,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-18,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-19,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-20,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-21,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-22,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-23,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-24,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-25,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-26,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-27,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-28,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-29,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-30,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-08-31,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-01,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-02,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-03,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-04,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-05,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-06,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-07,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-08,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-09,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-10,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-11,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-12,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-13,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-14,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-15,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-16,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-17,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-18,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-19,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-20,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-21,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-22,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-23,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-24,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-25,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-26,"Abertawe Bro Morgannwg University Health Board",0,"No local lockdowns",0
2020-09-27,"Abertawe Bro Morgannwg University Health Board",0.632815623,"Local lockdowns",0.632815623
2020-09-28,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-09-29,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-09-30,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-01,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-02,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-03,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-04,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-05,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-06,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-07,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-08,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-09,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-10,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-11,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-12,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-13,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-14,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-15,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-16,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-17,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-18,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-19,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-20,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-21,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-22,"Abertawe Bro Morgannwg University Health Board",1,"Local lockdowns",1
2020-10-23,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-10-24,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-10-25,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-10-26,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-10-27,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-10-28,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-10-29,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-10-30,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-10-31,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-11-01,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-11-02,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-11-03,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-11-04,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-11-05,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-11-06,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-11-07,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-11-08,"Abertawe Bro Morgannwg University Health Board",2,"Firebreak lockdown",2
2020-11-09,"Abertawe Bro Morgannwg University Health Board",2,"Post-firebreak",0
2020-11-10,"Abertawe Bro Morgannwg University Health Board",2,"Post-firebreak",0
2020-11-11,"Abertawe Bro Morgannwg University Health Board",2,"Post-firebreak",0
2020-11-12,"Abertawe Bro Morgannwg University Health Board",2,"Post-firebreak",0
2020-11-13,"Abertawe Bro Morgannwg University Health Board",2,"Post-firebreak",0
2020-11-14,"Abertawe Bro Morgannwg University Health Board",2,"Post-firebreak",0
2020-11-15,"Abertawe Bro Morgannwg University Health Board",2,"Post-firebreak",0
2020-11-16,"Abertawe Bro Morgannwg University Health Board",2,"Post-firebreak",0
2020-11-17,"Abertawe Bro Morgannwg University Health Board",2,"Post-firebreak",0
2020-11-18,"Abertawe Bro Morgannwg University Health Board",2,"Post-firebreak",0
2020-11-19,"Abertawe Bro Morgannwg University Health Board",2,"Post-firebreak",0
2020-04-01,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-02,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-03,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-04,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-05,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-06,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-07,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-08,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-09,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-10,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-11,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-12,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-13,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-14,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-15,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-16,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-17,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-18,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-19,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-20,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-21,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-22,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-23,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-24,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-25,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-26,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-27,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-28,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-29,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-04-30,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-01,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-02,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-03,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-04,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-05,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-06,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-07,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-08,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-09,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-10,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-11,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-12,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-13,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-14,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-15,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-16,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-17,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-18,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-19,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-20,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-21,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-22,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-23,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-24,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-25,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-26,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-27,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-28,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-29,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-30,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-05-31,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-01,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-02,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-03,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-04,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-05,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-06,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-07,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-08,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-09,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-10,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-11,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-12,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-13,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-14,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-15,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-16,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-17,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-18,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-19,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-20,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-21,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-22,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-23,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-24,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-25,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-26,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-27,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-28,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-29,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-06-30,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-01,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-02,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-03,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-04,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-05,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-06,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-07,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-08,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-09,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-10,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-11,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-12,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-13,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-14,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-15,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-16,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-17,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-18,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-19,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-20,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-21,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-22,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-23,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-24,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-25,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-26,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-27,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-28,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
2020-07-29,"Aneurin Bevan University Health Board",0,"No local lockdowns",0
