"date","health_board","lockdown_status","admission_type","count"
2020-04-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",29
2020-04-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",53
2020-04-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",13
2020-04-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",48
2020-04-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",61
2020-04-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",16
2020-04-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",35
2020-04-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",51
2020-04-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",22
2020-04-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",55
2020-04-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",77
2020-04-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",12
2020-04-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",71
2020-04-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",83
2020-05-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",9
2020-05-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",67
2020-05-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",76
2020-05-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",23
2020-05-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",30
2020-05-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",53
2020-05-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",15
2020-05-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",37
2020-05-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",52
2020-05-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",18
2020-05-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",44
2020-05-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",62
2020-05-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",12
2020-05-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",80
2020-05-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",92
2020-05-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",16
2020-05-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",50
2020-05-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",66
2020-05-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",12
2020-05-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",74
2020-05-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",86
2020-05-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",12
2020-05-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",65
2020-05-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",77
2020-05-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",25
2020-05-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",58
2020-05-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",83
2020-05-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",6
2020-05-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",54
2020-05-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",60
2020-05-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",13
2020-05-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",58
2020-05-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",71
2020-05-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",7
2020-05-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",76
2020-05-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",83
2020-05-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",8
2020-05-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",65
2020-05-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",73
2020-05-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",14
2020-05-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",72
2020-05-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",86
2020-05-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",9
2020-05-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",54
2020-05-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",63
2020-05-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",13
2020-05-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",61
2020-05-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",74
2020-05-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",10
2020-05-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",52
2020-05-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",62
2020-05-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",17
2020-05-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",61
2020-05-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",78
2020-05-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",14
2020-05-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",81
2020-05-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",95
2020-05-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",9
