"","date","health_board","percent_beds_in_use_covid"
"46",2020-04-06,"Aneurin Bevan University Health Board",0.223070398642918
"47",2020-04-06,"Velindre University NHS Trust",0.225806451612903
"48",2020-04-06,"Wales",0.159584225007643
"49",2020-04-07,"Betsi Cadwaladr University Health Board",0.0937019969278034
"50",2020-04-07,"Hywel Dda University Health Board",0.0979955456570156
"51",2020-04-07,"Abertawe Bro Morgannwg University Health Board",0.257104194857916
"52",2020-04-07,"Cardiff and Vale University Health Board",0.150636492220651
"53",2020-04-07,"Cwm Taf University Health Board",0.189759036144578
"54",2020-04-07,"Aneurin Bevan University Health Board",0.207803223070399
"55",2020-04-07,"Velindre University NHS Trust",0.233333333333333
"56",2020-04-07,"Wales",0.160719731625496
"57",2020-04-08,"Betsi Cadwaladr University Health Board",0.106269113149847
"58",2020-04-08,"Hywel Dda University Health Board",0.103057757644394
"59",2020-04-08,"Abertawe Bro Morgannwg University Health Board",0.236238532110092
"60",2020-04-08,"Cardiff and Vale University Health Board",0.164780763790665
"61",2020-04-08,"Cwm Taf University Health Board",0.200196270853778
"62",2020-04-08,"Aneurin Bevan University Health Board",0.233918128654971
"63",2020-04-08,"Velindre University NHS Trust",0.233333333333333
"64",2020-04-08,"Wales",0.172542019931578
"65",2020-04-09,"Betsi Cadwaladr University Health Board",0.110599078341014
"66",2020-04-09,"Hywel Dda University Health Board",0.106575963718821
"67",2020-04-09,"Abertawe Bro Morgannwg University Health Board",0.253121452894438
"68",2020-04-09,"Cardiff and Vale University Health Board",0.160764872521246
"69",2020-04-09,"Cwm Taf University Health Board",0.187751004016064
"70",2020-04-09,"Aneurin Bevan University Health Board",0.23582580115037
"71",2020-04-09,"Velindre University NHS Trust",0.2
"72",2020-04-09,"Wales",0.173809523809524
"73",2020-04-10,"Betsi Cadwaladr University Health Board",0.117873651771957
"74",2020-04-10,"Hywel Dda University Health Board",0.127880184331797
"75",2020-04-10,"Abertawe Bro Morgannwg University Health Board",0.327433628318584
"76",2020-04-10,"Cardiff and Vale University Health Board",0.160764872521246
"77",2020-04-10,"Cwm Taf University Health Board",0.179411764705882
